id;pembuat;pasir;batu;air
1;jin_kuli3;3;4;5
2;jin4;5;2;3
3;jin_kuli3;4;5;3
4;jin5;5;2;3
5;jin_kuli3;3;1;1
6;jin4;5;2;3
7;jin5;5;2;3
8;jin_kuli1;2;2;2
9;jin_kuli2;2;2;2
10;jin_kuli3;2;2;2
11;jin_kuli4;2;2;2
12;jin_kuli3;3;4;2
13;jin1001;3;4;3
14;jin1001;3;3;3
15;jin_kuli3;1;4;1
16;jin_kuli3;3;4;1
17;jin_kuli3;3;5;4
18;jin00;4;5;3
19;jin1002;5;1;3
20;jin_kuli4;1;4;3
21;jin_kuli3;2;2;4
22;jin_kuli2;5;3;2
23;jin_kuli1;1;2;3
24;jin00;3;1;3
25;jin1002;4;1;4
26;jin_kuli4;3;4;5
27;jin_kuli3;3;4;4
28;jin_kuli2;2;1;5
29;jin_kuli1;1;3;5
30;jin00;3;4;3
31;jin1002;5;5;5
32;jin_kuli4;1;2;1
33;jin_kuli3;5;2;1
34;jin_kuli2;5;1;3
35;jin_kuli1;1;3;4
36;jin00;2;4;2
37;jin1002;5;5;3
38;jin_kuli4;1;3;1
39;jin_kuli3;2;3;4
40;jin_kuli2;3;1;3
41;jin_kuli1;1;4;2
42;jin00;1;4;1
43;jin1002;2;4;5
44;jin_kuli4;3;5;2
45;jin_kuli3;1;2;4
46;jin_kuli2;1;4;5
47;jin_kuli1;5;1;1
48;jin00;1;5;2
49;jin1002;3;5;1
50;jin_kuli4;1;2;5
51;jin_kuli3;2;5;4
52;jin_kuli2;4;4;4
53;jin_kuli1;5;3;3
54;jin00;2;1;2
55;jin1002;4;1;1
56;jin_kuli4;4;5;3
57;jin_kuli3;3;2;2
58;jin_kuli2;3;5;4
59;jin_kuli1;5;3;2
60;jin00;1;4;3
61;jin1002;5;4;4
62;jin_kuli4;1;3;4
63;jin_kuli3;3;2;4
64;jin_kuli2;5;2;4
65;jin_kuli1;4;1;1
66;jin00;2;4;1
67;jin1002;1;4;1
68;jin_kuli4;4;2;4
69;jin_kuli3;1;3;2
70;jin_kuli2;1;5;5
71;jin_kuli1;2;3;5
72;jin00;4;2;5
73;jin1002;3;5;2
74;jin_kuli4;1;3;2
75;jin_kuli3;5;2;3
76;jin_kuli2;4;5;3
77;jin_kuli1;3;3;4
78;jin00;5;4;3
79;jin1002;3;5;3
80;jin_kuli4;2;1;1
81;jin_kuli3;2;1;3
82;jin_kuli2;1;2;3
83;jin_kuli1;4;4;5
84;jin00;4;3;1
85;jin1002;5;1;4
86;jin_kuli4;1;5;2
87;jin_kuli3;3;5;4
88;jin_kuli2;5;1;5
89;jin_kuli1;4;3;5
90;jin00;5;1;2
91;jin1002;2;2;5
92;jin_kuli4;3;1;2
93;jin_kuli3;2;2;1
94;jin_kuli2;5;4;1
95;jin_kuli1;1;4;1
96;jin00;3;1;4
97;jin1002;2;3;5
98;jin_kuli4;3;5;3
99;jin_kuli3;3;5;3
100;jin_kuli2;4;4;4
